user_id,total_bets,freq_bets,perc_sports,perc_casino,avg_deposit,avg_withdraw,active_days,cluster
U000,3590.5190848038546,25,0.0,1.0,259.23032025392115,112.1114593020938,30,1
U001,2241.6970953233813,27,0.6435191237878145,0.3564808762121855,942.2326716781466,33.98705805888113,30,1
U002,2073.4253765564304,20,0.8379527064656032,0.16204729353439684,335.9794276407819,295.5788730452814,14,3
U003,2073.453441497701,20,0.5633828603636168,0.43661713963638316,684.3830301471646,47.13475580863303,21,1
U004,6974.571618345976,18,0.4626454841452532,0.5373545158547468,972.1106283439374,146.23923057860785,25,0
U005,4300.059346446334,30,0.552191330356228,0.447808669643772,956.8742634860394,344.7693841090002,18,0
U006,1696.6170026113484,25,0.4888251712797651,0.5111748287202349,1885.7181416144485,874.6090712166371,6,2
U007,3704.72171014682,34,0.19558586641794984,0.8044141335820502,530.0158785180711,266.7480518252332,20,1
U008,2998.4403960969703,17,0.38559579690287044,0.6144042030971295,311.3041494894903,63.82180921224343,17,2
U009,323.8724152358781,18,0.7563839715041443,0.24361602849585573,718.4636317733572,316.1153577045587,13,3
U010,1006.8634240315594,25,0.69650356241295,0.30349643758705,552.1100989579165,848.1872595685817,11,3
U011,3159.248456022245,25,0.6504179417900461,0.3495820582099539,477.85309562786136,260.74207377112333,20,3
U012,6547.765301225293,21,0.30145545544398616,0.6985445445560139,426.8932835813275,992.4755304276642,14,0
U013,2087.778277438719,24,0.5455490513592999,0.4544509486407001,830.8848773559017,342.96526869771924,28,1
U014,1587.0411585814554,33,0.0,1.0,378.7011683065997,632.8256666613853,26,1
U015,2721.0113122082485,27,0.6535429991656169,0.34645700083438313,1113.2592464399406,425.64264105451844,13,3
U016,1507.9267210771463,30,1.0,0.0,1077.3401912908662,955.7808115459445,26,3
U017,1976.6120717087827,27,0.1577603603873683,0.8422396396126317,885.4000662646525,1604.9022190955488,27,1
U018,2473.953718410397,21,0.42422169800467335,0.5757783019953266,273.7129645314097,218.78037015123175,11,2
U019,960.2059572658253,26,0.6987320336130388,0.3012679663869612,804.0143719086798,404.0043483536845,20,3
U020,4455.090141319709,18,0.975852790328245,0.024147209671754988,1352.063656156473,874.1156236449401,13,3
U021,802.7721694185601,24,0.46553261510995514,0.5344673848900449,1168.5160594650154,438.8265922946653,28,1
U022,709.1901657520101,18,0.3923249012202311,0.6076750987797689,1058.7055781770612,31.185616714499968,21,1
